followers count,friends count,retweet count,favorite count,polarity,SubjectivityClass
35592,540,1,0,0.0,0
4628,5035,0,0,0.0,0
462,2242,2,1,0.0,0
36,40,0,0,-0.025,1
2012,400,5,6,0.0,2
6672,506,0,0,-0.041666666666666664,1
3671,187,3,12,0.125,0
1965,2068,0,0,0.0,1
33751,952,9,13,0.16666666666666666,1
16489,684,0,0,0.0,0
1078,789,0,2,0.625,1
1,9,0,0,-0.5,2
1018,532,3,9,0.3625,1
33697,29494,0,0,0.3,2
287,331,0,4,0.0,2
46,430,0,0,0.0,0
11526,808,71,383,0.0,0
65,848,0,0,0.5,2
1030,333,2,2,0.13636363636363635,1
22,38,0,0,0.0,2
5553,5225,0,0,0.0,0
324,1134,0,1,0.0,0
5730,5595,15,25,0.4,0
117,774,0,0,0.0,0
148041,908,16,170,-0.20000000000000004,2
11,16,0,1,0.11818181818181818,0
450,156,0,1,0.0,0
363,592,1,1,-0.06666666666666668,1
179,54,0,1,0.1,0
3121,2256,2,7,-0.13,2
1462,2422,0,2,0.0,0
1432,4090,0,0,0.13636363636363635,1
713,468,1,1,0.0,0
72,139,0,0,0.175,1
115,353,0,0,0.0,0
1539,1571,0,5,0.0,0
451,848,0,0,0.0,0
23247,2416,12,43,0.0,0
6115,1233,0,1,0.2,0
153,72,0,2,-0.1351851851851852,1
105,1311,0,0,0.0,0
329203,3548,13,136,0.125,0
408,580,0,0,0.05,0
943,1138,0,1,0.1,2
234,634,0,0,0.3125,0
685,512,2,2,0.35,2
465,401,0,1,0.35714285714285715,1
9,32,0,0,0.0,0
1510,1524,0,0,0.3,2
34,33,0,1,0.05,0
58,151,0,0,-0.05,0
586,626,0,0,0.07500000000000001,0
48368,1005,9,19,0.3,2
415,7,0,0,0.05000000000000002,1
1928,1759,2,5,0.35714285714285715,1
197,292,2,2,0.1,0
11593,1825,0,0,0.0,0
2631,4588,1,3,0.012499999999999994,0
22,38,0,0,0.0,2
284,1346,0,0,0.0,0
2707,5002,0,1,0.0,0
22757,4631,0,2,0.0,0
383,1314,14,48,0.0,0
22,38,0,0,0.0,2
519,143,1,0,0.14583333333333334,2
0,3,0,1,0.55,2
224519,100815,3,5,-0.1,0
338,639,0,0,0.0,0
4075,3898,1,5,0.0,0
3462140,522,11,27,0.0,0
174783,2846,590,1874,0.2,0
282,1548,0,0,0.0,0
3,12,0,0,0.16666666666666669,0
1162,2198,3,6,0.0,0
1200,1467,1,2,0.3,2
574,524,0,0,0.3,2
414,1044,1,5,0.5,2
171,333,0,0,0.3,2
2,29,0,0,0.7,2
1195,1081,0,0,-0.06818181818181818,1
1249,757,0,0,0.0,0
198,237,0,0,0.02500000000000001,0
498,576,0,1,0.0,0
3210,4493,0,0,0.0,0
1065,745,0,1,0.0,0
195247,525,47,174,0.0,0
72,290,1,1,0.0,0
4890,5211,1,0,0.2857142857142857,1
1428,1587,0,0,0.3,2
3,60,0,0,0.0,0
5123,5112,6,10,0.5,2
11306,11313,22,111,0.25,0
261,319,0,0,0.0,2
177,938,0,0,-0.40625,2
252,612,0,0,0.15,0
17938,15117,4,14,0.0,2
14127,7744,0,0,0.0,0
11,153,0,0,-0.3,0
934,1142,0,0,0.13636363636363635,1
3733,3876,0,0,0.4,1
126,421,0,0,0.3,2
5,1,0,0,0.0,0
102,368,0,1,0.0,2
158,304,0,0,0.0,2
3634,1690,1,4,0.0,2
3942,3813,0,1,0.35,2
231,676,0,1,0.0,0
2136,2627,0,1,0.0,1
2732,758,0,0,0.0,0
4083,3913,0,0,0.2,0
194,443,0,0,0.05000000000000002,1
118,336,0,0,0.0,0
2522,2112,0,0,0.3,2
1010,1420,0,0,0.06818181818181818,0
93,394,0,0,0.3,2
119550,106541,3,13,0.0,0
14,69,0,0,0.0,0
93,170,0,0,-0.5,1
31149,26683,7,9,0.3,2
2753,2821,0,1,0.0,0
23544,2384,11,16,0.11818181818181818,0
31149,26683,4,5,0.3,2
130384,1768,145,1096,0.0,0
1625,1935,1,4,0.0,0
55,280,0,0,0.0,0
31149,26683,2,1,0.3,2
1327,859,0,0,0.16666666666666666,1
31149,26683,1,1,0.3,2
5494,5966,1,2,0.3,2
5094,5018,0,0,0.13636363636363635,1
945,1177,0,0,-0.5,1
960,1383,8,9,-0.3,0
775,677,0,1,0.13636363636363635,1
3722,4084,0,6,0.0,0
109723,2264,13,83,0.3,2
126,752,0,0,0.0,0
2543,727,4,12,-1.0,2
433034,1113,281,1345,0.0,0
283569,255,18,56,0.0,0
2148,2182,0,0,0.0,0
160,272,0,0,0.0,0
1588,355,0,1,0.0666666666666667,2
267,1096,0,0,-0.4,1
167257,3375,11,21,0.1,0
607,1322,0,0,0.0,0
23,179,0,1,0.05,0
68068,69627,50,37,-0.1,0
240,267,0,0,-0.25,1
3659,5002,0,0,0.0,0
21525,9878,0,3,0.3,2
2487,2335,0,0,0.1,0
194,443,0,0,0.05000000000000002,1
1211,678,0,1,-0.03181818181818183,1
2747,2852,0,0,0.13636363636363635,1
619,535,1,1,0.0,0
120,669,0,1,0.3,2
326,873,1,1,0.25,0
6411,2397,0,2,-0.075,0
5,14,0,0,0.35,2
937,164,0,0,0.0,0
1351,1388,0,1,0.45,1
868,3542,0,0,-0.02840909090909091,0
1446,643,0,0,-0.8,2
84,325,0,0,0.3,2
749,2944,0,0,0.0,0
355,1173,0,0,0.25,0
258,722,0,0,0.0,0
3754797,6984,17,32,-0.1875,1
29,42,0,0,0.0,0
1313,302,0,0,0.0,0
374,209,0,0,0.0,0
339,416,0,1,0.45,2
10129,10810,1,3,0.0,0
399,1708,0,0,0.13636363636363635,1
39850,15155,5,6,0.0,0
15224,3495,1,1,0.0,0
3416,719,0,2,0.1,0
835,1181,0,0,0.3,2
28484,2221,0,1,0.0,0
53042,39639,0,2,-0.26666666666666666,2
329416,185440,0,2,-0.1,0
2869,26,0,0,0.3,2
207,137,0,1,0.125,0
712,265,0,0,0.0,0
48,144,0,0,0.3,2
16139,2261,4,24,0.0,0
3858,4622,2,2,0.0,0
99,430,0,1,-0.009999999999999998,0
29,169,0,0,0.0,1
230,1435,0,0,0.3,2
